flow id,protocol,src ip,dst ip,src port,dst port,flow idle time max,flow idle time min,flow idle time mean,flow idle time std,flow idle time variance,flow active time max,flow active time min,flow active time mean,flow active time std,flow active time variance,flow IAT max,fw IAT max,bw IAT max,flow IAT min,fw IAT min,bw IAT min,flow IAT mean,fw IAT mean,bw IAT std,flow IAT std,fw IAT std,bw IAT std.1,flow IAT tot,fw iAT tot,bw IAT tot,flow iec104 packts/s,fw iec104 packts/s,bw iec104 packts/s,flow iec104 bytes/s,fw iec104 bytes/s,bw iec104 bytes/s,flow packet APDU length max,flow packet APDU length min,flow packet APDU length mean,flow packet APDU length std,flow packet APDU length var,fw packet APDU length max,fw packet APDU length min,fw packet APDU length mean,fw packet APDU length std,fw packet APDU length var,bw packet APDU length max,bw packet APDU length min,bw packet APDU length mean,bw packet APDU length std,bw packet APDU length var,total flow packets,total fw packets,total bw packets,flow packets APDU total length,fw packets APDU total length,bw packets APDU total length,flow duration,flow down/up ratio,flow total IEC104_I_Message_SeqIOA packets,fw total IEC104_I_Message_SeqIOA packets,bw total IEC104_I_Message_SeqIOA packets,flow total IEC104_I_Message_SingleIOA packets,fw total IEC104_I_Message_SingleIOA packets,bw total IEC104_I_Message_SingleIOA packets,flow total IEC104_S_Message packets,fw total IEC104_S_Message packets,bw total IEC104_S_Message packets,flow total IEC104_U_Message packets,fw total IEC104_U_Message packets,bw total IEC104_U_Message packets,fw URG flag amount,fw PSH flag amount,bw URG flag amount,bw PSH flag amount,flow SYN flag count,flow RST flag count,flow PSH flag count,flow ACK flag count,flow URG flag count,flow CWE flag count,flow ECE flag count,fw_subflow_packets,bw_subflow_packets,fw_subflow_bytes,bw_subflow_bytes,flow start timestamp,fw avg bytes/bulk,bw avg bytes/bulk,fw avg bulk rate,bw avg bulk rate,fw avg packets/bulk,bw avg packets/bulk,init fw window bytes,init bw window bytes,fw TCP total header length,bw TCP total header length,cot=1,cot=2,cot=3,cot=4,cot=5,cot=6,cot=7,cot=8,cot=9,cot=10,cot=11,cot=12,cot=13,cot=20,type_id_process_information_in_monitor_direction,type_id_process_information_in_control_direction,type_id_system_information_in_monitor_direction,type_id_system_information_in_control_direction,type_id_parameter_in_control_direction,type_id_file_transfer,Label
192.168.1.20_192.168.1.21_49723_2404_IEC60870-5-104,IEC-60870-5-104,192.168.1.20,192.168.1.21,49723,2404,21.018846988677982,6.00190806388855,12.763159155845642,7.070713750729867,49.994992944760426,3.487222121368408,0.0003430065002441407,1.218212762234158,1.617235367417948,2.615450233627465,21.018846988677982,15.03019905090332,21.018846988677982,0.00034308433532714844,0.0004198551177978516,0.00034308433532714844,5.139508550817316,4.233788394927979,5.8942753473917655,7.23473271572242,4.6155261402598065,9.00707503652575,113.06918811798096,42.33788394927978,70.73130416870117,0.20341527514889815,0.09728556637556,0.10612970877333815,1.2558682204845013,0.4775836894800216,0.77828453100448,14,4,6.173913043478262,4.217411678366498,17.786561264822133,14,4,4.909090909090909,3.015113445777636,9.090909090909088,14,4,7.333333333333332,4.92365963917331,24.24242424242424,23,11,12,142,54,88,113.06918805957032,1.0909090909090908,0,0,0,5,1,4,4,3,1,14,7,7,0,11,0,12,0,0,23,23,0,0,0,7,8,28,52,04/28/2020 21:22:41,0.0,0.0,0.0,0.0,0.0,0.0,16425,256,220,240,0,0,2,0,0,1,1,0,0,0,0,0,0,1,3,0,0,2,0,0,NORMAL
192.168.1.20_192.168.1.24_49724_2404_IEC60870-5-104,IEC-60870-5-104,192.168.1.20,192.168.1.24,49724,2404,20.947165012359623,6.002298831939697,13.693360260554723,7.1716371843322895,51.432379903697566,6.999645084411622,0.00042604693603515625,1.6428159082641602,2.5692143873201942,6.600862568013081,20.947165012359623,15.05213499069214,20.947165012359623,0.0004260540008544922,0.0004260540008544922,0.0007250308990478517,4.954365860332143,4.201771068572998,5.581528186798097,7.281591077675409,4.628534957010584,9.096747361892179,108.99604892730713,42.01771068572997,66.97833824157715,0.2110168231741061,0.10092108934413774,0.11009573382996836,1.3027995169879594,0.4954308022348577,0.8073687147531019,14,4,6.173913043478262,4.217411678366498,17.786561264822133,14,4,4.909090909090909,3.015113445777636,9.090909090909088,14,4,7.333333333333332,4.92365963917331,24.24242424242424,23,11,12,142,54,88,108.99604900706483,1.0909090909090908,0,0,0,5,1,4,4,3,1,14,7,7,0,11,0,12,0,0,23,23,0,0,0,7,8,28,52,04/28/2020 21:22:46,0.0,0.0,0.0,0.0,0.0,0.0,16425,256,220,240,0,0,2,0,0,1,1,0,0,0,0,0,0,1,3,0,0,2,0,0,NORMAL
192.168.1.20_192.168.1.25_49725_2404_IEC60870-5-104,IEC-60870-5-104,192.168.1.20,192.168.1.25,49725,2404,20.913414001464844,5.737247943878174,13.521688393184116,7.385255026697768,54.54199180936463,4.078956046508789,0.0003658838195800781,1.2941886453609466,1.807828074382642,3.268242346526052,20.913414001464844,15.084003925323485,20.913414001464844,0.0003659725189208984,0.0003659725189208984,0.0003681182861328125,5.250266408920288,3.8591130044725217,6.3884828307411885,7.552566811776419,4.856960104372135,9.291904427148372,105.00532817840576,34.73201704025269,70.27331113815308,0.1999898517475808,0.0952332627369432,0.10475658901063756,1.2761257206750392,0.4761663136847161,0.7999594069903231,14,4,6.3809523809523805,4.364357804719847,19.047619047619047,14,4,5.0,3.1622776601683795,10.0,14,4,7.636363636363638,5.04524979109513,25.454545454545453,21,10,11,134,50,84,105.00532810287474,1.1,0,0,0,5,1,4,4,3,1,12,6,6,0,10,0,11,0,0,21,21,0,0,0,4,6,16,34,04/28/2020 21:22:51,0.0,0.0,0.0,0.0,0.0,0.0,16425,256,200,220,0,0,2,0,0,1,1,0,0,0,0,0,0,1,3,0,0,2,0,0,NORMAL
192.168.1.20_192.168.1.26_49728_2404_IEC60870-5-104,IEC-60870-5-104,192.168.1.20,192.168.1.26,49728,2404,20.933805942535397,5.99869704246521,12.807662725448608,6.868426050825825,47.17527641566283,3.5517589819641118,0.0002949209899902344,1.1745706615770128,1.55351618815354,2.413412546855105,20.933805942535397,15.004079818725586,20.933805942535397,0.0002949237823486328,0.0003800392150878906,0.0002949237823486328,5.137838092717256,4.314519572257995,5.8239368597666425,7.207936120797254,4.57346046189152,8.996792499673179,113.03243803977966,43.14519572257996,69.8872423171997,0.20348141110522683,0.0973171966155433,0.1061642144896836,1.2562765381279228,0.4777389652035764,0.7785375729243464,14,4,6.173913043478262,4.217411678366498,17.786561264822133,14,4,4.909090909090909,3.015113445777636,9.090909090909088,14,4,7.333333333333332,4.92365963917331,24.24242424242424,23,11,12,142,54,88,113.03243807418822,1.0909090909090908,0,0,0,5,1,4,4,3,1,14,7,7,0,11,0,12,0,0,23,23,0,0,0,7,6,28,34,04/28/2020 21:22:59,0.0,0.0,0.0,0.0,0.0,0.0,16425,256,220,240,0,0,2,0,0,1,1,0,0,0,0,0,0,1,3,0,0,2,0,0,NORMAL
192.168.1.20_192.168.1.13_49729_2404_IEC60870-5-104,IEC-60870-5-104,192.168.1.20,192.168.1.13,49729,2404,20.477159023284916,6.000020980834961,12.604168593883516,6.930129505744377,48.026694966388796,3.4714240382080077,0.0004460773010253905,1.1327542353007,1.6443870245888028,2.704008686636017,20.477159023284916,14.966508865356445,20.477159023284916,0.00044608116149902333,0.00044608116149902333,0.003895998001098633,5.046733498573302,4.317353701591491,5.6545499960581465,7.156970021351372,4.558755281616387,8.938543355705775,111.02813696861269,43.173537015914924,67.85459995269775,0.20715469628388236,0.0990739851792481,0.1080807111046343,1.2789550814048392,0.4863631999708544,0.7925918814339848,14,4,6.173913043478262,4.217411678366498,17.786561264822133,14,4,4.909090909090909,3.015113445777636,9.090909090909088,14,4,7.333333333333332,4.92365963917331,24.24242424242424,23,11,12,142,54,88,111.0281370038605,1.0909090909090908,0,0,0,5,1,4,4,3,1,14,7,7,0,11,0,12,0,0,23,23,0,0,0,7,6,28,34,04/28/2020 21:23:06,0.0,0.0,0.0,0.0,0.0,0.0,16425,256,220,240,0,0,2,0,0,1,1,0,0,0,0,0,0,1,3,0,0,2,0,0,NORMAL
192.168.1.20_192.168.1.19_49732_2404_IEC60870-5-104,IEC-60870-5-104,192.168.1.20,192.168.1.19,49732,2404,20.992597103118893,5.996840000152588,13.662066161632538,6.457553068024857,41.69999162635725,3.178910820587159,0.000979980712890625,1.1716271109703913,1.4877518933011615,2.2134056960211916,20.992597103118893,15.023452997207642,20.992597103118893,0.000979900360107422,0.000979900360107422,0.003671884536743164,5.447326042435386,4.666187524795532,5.988114246955285,7.420891693480249,4.644283668708839,9.012093110410843,119.84117293357849,41.99568772315979,77.8454852104187,0.1919206849418099,0.08344377606165647,0.10847690888015342,1.3517891721988349,0.41721888030828236,0.9345702918905529,14,4,7.043478260869565,4.7047196889696465,22.134387351778656,14,4,5.0,3.1622776601683795,10.0,14,4,8.615384615384615,5.1887452166277095,26.923076923076927,23,10,13,162,50,112,119.8411729667053,1.3,0,0,0,7,1,6,4,3,1,12,6,6,0,10,0,13,0,0,23,23,0,0,0,7,8,28,62,04/28/2020 21:23:13,0.0,0.0,0.0,0.0,0.0,0.0,16425,256,200,260,0,0,2,0,0,1,2,0,0,1,0,0,0,1,3,2,0,2,0,0,NORMAL
192.168.1.20_192.168.1.22_49733_2404_IEC60870-5-104,IEC-60870-5-104,192.168.1.20,192.168.1.22,49733,2404,20.903706073760983,5.99900484085083,12.75860020518303,6.771473240981249,45.85284985332509,7.0223150333709725,0.0005010368804931641,1.8914425574646003,2.398058629510723,5.750685190570846,20.903706073760983,15.082309007644653,20.903706073760983,0.0004320144653320313,0.0004320144653320313,0.003506183624267578,4.763671398162842,4.0707104639573535,5.308140703610012,6.772438804548923,4.4311606085523465,8.29734904060447,119.09178495407104,44.777815103530884,74.31396985054015,0.21831900509627886,0.10076261773674414,0.11755638735953475,1.4610579571827889,0.4870193190609298,0.9740386381218596,14,4,6.6923076923076925,4.523443208612048,20.46153846153846,14,4,4.833333333333333,2.8867513459481287,8.333333333333336,14,4,8.285714285714286,5.135525910130955,26.37362637362637,26,12,14,174,58,116,119.09178492515566,1.1666666666666667,0,0,0,7,1,6,5,4,1,14,7,7,0,12,0,14,0,0,26,26,0,0,0,7,8,28,52,04/28/2020 21:23:16,0.0,0.0,0.0,0.0,0.0,0.0,16425,256,240,280,0,0,2,0,0,1,2,0,0,1,0,0,0,1,3,2,0,2,0,0,NORMAL
192.168.1.21_192.168.1.20_2404_49723_IEC60870-5-104,IEC-60870-5-104,192.168.1.21,192.168.1.20,2404,49723,20.110620021820072,5.997699022293091,10.397713687684801,5.2681541517412045,27.753448166508104,3.8299609835968007,0.0004379493713378906,1.6734382073410035,1.7923248342386702,3.212428311428677,20.110620021820072,20.110620021820072,7.002737045288086,0.000308990478515625,0.000308990478515625,0.0003719329833984375,4.412552194595337,4.858151839329646,3.9298192461331687,5.617819933352684,7.544213097357835,2.505959504628932,110.31380486488342,63.1559739112854,47.15783095359802,0.23569126280892436,0.12691067997403616,0.1087805828348881,1.577318451105878,1.1421961197663255,0.4351223313395524,14,4,6.6923076923076925,4.523443208612048,20.46153846153846,14,4,9.0,5.1887452166277095,26.923076923076927,4,4,4.0,0.0,0.0,26,14,12,174,126,48,110.31380497578431,0.8571428571428571,0,0,0,7,7,0,5,0,5,14,7,7,0,14,0,12,0,0,26,26,0,0,0,6,11,44,44,04/28/2020 21:24:54,0.0,0.0,0.0,0.0,0.0,0.0,256,16356,280,240,0,0,3,0,0,0,2,0,0,2,0,0,0,0,3,4,0,0,0,0,NORMAL
192.168.1.24_192.168.1.20_2404_49724_IEC60870-5-104,IEC-60870-5-104,192.168.1.24,192.168.1.20,2404,49724,20.931195974349976,5.9972591400146475,10.429650783538818,5.482454450915951,30.05730680636813,3.130450051315308,0.0003919010009765625,1.5262361937362665,1.6097763549535427,2.5913799129675144,20.931195974349976,20.931195974349976,8.003937005996704,0.0003831386566162109,0.0003919601440429688,0.0003831386566162109,4.365168762207031,4.863883990507858,3.824893931547801,5.699558114802882,7.5982243512234735,2.698600028636561,109.12921905517578,63.23049187660217,45.89872717857361,0.2382496660762246,0.1282882817333517,0.10996138434287289,1.594440072971657,1.154594535600165,0.43984553737149157,14,4,6.6923076923076925,4.523443208612048,20.46153846153846,14,4,9.0,5.1887452166277095,26.923076923076927,4,4,4.0,0.0,0.0,26,14,12,174,126,48,109.12921905914305,0.8571428571428571,0,0,0,7,7,0,5,0,5,14,7,7,0,14,0,12,0,0,26,26,0,0,0,8,11,62,44,04/28/2020 21:24:55,0.0,0.0,0.0,0.0,0.0,0.0,256,16356,280,240,0,0,3,0,0,0,2,0,0,2,0,0,0,0,3,4,0,0,0,0,NORMAL
192.168.1.25_192.168.1.20_2404_49725_IEC60870-5-104,IEC-60870-5-104,192.168.1.25,192.168.1.20,2404,49725,20.900192975997925,5.996113061904907,11.489008638593885,6.888989215721134,47.45817241432209,3.300797906265259,0.0003520835723876953,1.5898840008377075,1.6788400171344504,2.818503803132002,20.900192975997925,20.900192975997925,7.001546144485474,0.0003428459167480469,0.0003521442413330078,0.0003428459167480469,4.113790281887712,5.044838889439901,3.1162382023675095,6.2936677867035655,8.383244932307184,2.749121045112176,119.29991817474364,75.67258334159852,43.62733483314514,0.2514670628934586,0.1341157668765112,0.11735129601694733,1.5926247316585707,1.1232195475907818,0.4694051840677893,14,4,6.333333333333332,4.301830671520763,18.50574712643678,14,4,8.375,5.123475382979799,26.25,4,4,4.0,0.0,0.0,30,16,14,190,134,56,119.29991806803896,0.875,0,0,0,7,7,0,5,0,5,18,9,9,0,16,0,14,0,0,30,30,0,0,0,8,12,52,48,04/28/2020 21:24:56,0.0,0.0,0.0,0.0,0.0,0.0,256,16354,320,280,0,0,3,0,0,0,2,0,0,2,0,0,0,0,3,4,0,0,0,0,NORMAL
